date,SPX Index,SPW Index,MXEA Index,MXWOU Index
2015-09-22,-0.012293,-0.014965,-0.023877000000000002,-0.024014
2015-09-23,-0.001997,-0.004339,-0.002397,-0.002889
2015-09-24,-0.0033629999999999997,-0.0034560000000000003,-0.009056999999999999,-0.008954
2015-09-25,-0.00046199999999999995,0.000431,0.013085,0.012374000000000001
2015-09-28,-0.025376,-0.027818,-0.011636,-0.013156000000000001
2015-09-29,0.0012920000000000002,0.0012720000000000001,-0.017453,-0.016067
2015-09-30,0.019138,0.01923,0.021697,0.021842999999999998
2015-10-01,0.002043,-0.00026700000000000004,0.006481,0.0065639999999999995
2015-10-02,0.014414,0.016865,0.0084,0.008365000000000001
2015-10-05,0.018341,0.020499,0.019986999999999998,0.020208
2015-10-06,-0.0035870000000000003,-0.002647,0.010334000000000001,0.010422
2015-10-07,0.008425,0.010291999999999999,0.005687,0.006982
2015-10-08,0.008821,0.012065999999999999,0.002443,0.002747
2015-10-09,0.000756,-0.000718,0.014197999999999999,0.013680000000000001
2015-10-12,0.001276,-0.001005,-4.3e-05,-0.00023300000000000003
2015-10-13,-0.006729000000000001,-0.008598,-0.009391,-0.009459
2015-10-14,-0.004659,-0.003152,-0.005587,-0.00503
2015-10-15,0.014906999999999998,0.012697,0.012809999999999998,0.012086
2015-10-16,0.00457,0.0015260000000000002,0.005297,0.004859
2015-10-19,0.000285,-0.001424,-0.004852,-0.005329
2015-10-20,-0.001394,0.001448,-0.001878,-0.001076
2015-10-21,-0.005698,-0.007533,0.004266,0.0021379999999999997
2015-10-22,0.016655,0.014843,0.0008100000000000001,0.001711
2015-10-23,0.011035,0.004355,0.010086999999999999,0.00947
2015-10-26,-0.001906,-0.0036880000000000003,0.001065,0.000228
2015-10-27,-0.0025540000000000003,-0.005586,-0.008445000000000001,-0.008856000000000001
2015-10-28,0.011936,0.012833,0.007116,0.008162
2015-10-29,-0.000335,-0.001249,-0.009575,-0.00935
2015-10-30,-0.00481,-0.000697,0.0069630000000000004,0.005191
2015-11-02,0.011876,0.012710999999999998,-0.004677,-0.003741
2015-11-03,0.002745,0.002401,-0.001097,-0.000634
2015-11-04,-0.0032029999999999997,-0.004025,2.8e-05,-0.000393
2015-11-05,-0.0009239999999999999,-0.000939,-0.001348,-0.002083
2015-11-06,-0.000235,-0.001697,-0.008223000000000001,-0.008374
2015-11-09,-0.009615,-0.00963,-0.004419,-0.0043490000000000004
2015-11-10,0.001771,0.002274,-0.00368,-0.0036940000000000002
2015-11-11,-0.003228,-0.005358000000000001,0.008346,0.007188
2015-11-12,-0.013808,-0.015353,-0.007932,-0.00882
2015-11-13,-0.011198999999999999,-0.010136000000000001,-0.009496,-0.009305
2015-11-16,0.015081,0.015602,-0.0031569999999999997,-0.001568
2015-11-17,-0.0011279999999999999,-0.002118,0.015845,0.01471
2015-11-18,0.016243,0.015823,-0.0013,-0.0005949999999999999
2015-11-19,-0.00108,-0.001206,0.015373000000000001,0.015121
2015-11-20,0.003965,0.003296,-0.001502,-0.001954
2015-11-23,-0.0011949999999999999,0.000264,-0.006177,-0.006228
2015-11-24,0.00125,0.002822,-0.005533,-0.004812
2015-11-25,-2.5e-05,0.0010119999999999999,0.0034860000000000004,0.003287
2015-11-26,0.0,0.0,0.009237,0.008778000000000001
2015-11-27,0.0008160000000000001,6.8e-05,-0.005638,-0.005992
2015-11-30,-0.004588999999999999,-0.0026910000000000002,-0.0028870000000000002,-0.001684
2015-12-01,0.010759000000000001,0.009800999999999999,0.007415000000000001,0.007589
2015-12-02,-0.010761,-0.012915000000000001,-0.003266,-0.003877
2015-12-03,-0.014332000000000001,-0.014173999999999999,-0.004237,-0.005024
2015-12-04,0.020533000000000003,0.016338,-0.0051470000000000005,-0.004265
2015-12-07,-0.006918,-0.00819,0.0016189999999999998,-0.001138
2015-12-08,-0.006403,-0.007318,-0.014197999999999999,-0.014199999999999999
2015-12-09,-0.007673999999999999,-0.006748,0.002121,0.002175
2015-12-10,0.002362,0.001605,-0.004536,-0.003933
2015-12-11,-0.019266000000000002,-0.019469,-0.009008,-0.010253000000000002
2015-12-14,0.004824999999999999,6.4e-05,-0.014437,-0.014071
2015-12-15,0.010627,0.011517,0.005178,0.006146
2015-12-16,0.01458,0.014033,0.011460999999999999,0.011647000000000001
2015-12-17,-0.014887999999999998,-0.016458,0.0038179999999999998,0.00203
2015-12-18,-0.017797,-0.015556,-0.007498,-0.00668
2015-12-21,0.007897,0.008147999999999999,-0.002557,-0.002745
2015-12-22,0.008921,0.01088,0.003994,0.004236
2015-12-23,0.012441,0.016785,0.012750999999999998,0.013425
2015-12-24,-0.001595,-0.0012180000000000001,0.006343,0.006005
2015-12-25,0.0,0.0,-0.001092,-0.001017
2015-12-28,-0.002176,-0.004164999999999999,-0.000717,-0.000853
2015-12-29,0.010814999999999998,0.010079,0.00809,0.007359
2015-12-30,-0.0071140000000000005,-0.008248,-0.0023510000000000002,-0.003
2015-12-31,-0.009408999999999999,-0.0068779999999999996,-0.006464,-0.006757999999999999
2016-01-01,0.0,0.0,0.0,0.0
2016-01-04,-0.015078000000000001,-0.011817,-0.025844,-0.024765000000000002
2016-01-05,0.002012,0.002058,-0.00308,-0.003106
2016-01-06,-0.012761,-0.018396,-0.010069999999999999,-0.011069
2016-01-07,-0.023674,-0.022156,-0.016556,-0.016822999999999998
2016-01-08,-0.010835,-0.011517,-0.007278,-0.007212
2016-01-11,0.000853,-0.003801,-0.00607,-0.006507
2016-01-12,0.007808000000000001,0.004777,-0.0045839999999999995,-0.004284
2016-01-13,-0.024853,-0.025324,0.011554,0.009512
2016-01-14,0.016714,0.013929,-0.017451,-0.015558
2016-01-15,-0.021557,-0.019255,-0.011654,-0.013101
2016-01-18,0.0,0.0,-0.011097,-0.011104000000000001
2016-01-19,0.0005340000000000001,-0.0031190000000000002,0.011212,0.010731
2016-01-20,-0.011545000000000001,-0.009881,-0.030207,-0.029671
2016-01-21,0.005227000000000001,0.00855,0.000503,0.003217
2016-01-22,0.020284,0.019985,0.032768,0.033719
2016-01-25,-0.015629999999999998,-0.019244,0.000121,-0.001968
2016-01-26,0.014145000000000001,0.018425,0.001054,0.002839
2016-01-27,-0.010795999999999998,-0.00753,0.009941,0.009510999999999999
2016-01-28,0.005618,0.001166,-0.006769,-0.004762
2016-01-29,0.024779,0.027705999999999998,0.010740000000000001,0.011380999999999999
2016-02-01,-0.000413,0.0006529999999999999,0.008627000000000001,0.007300999999999999
2016-02-02,-0.018715,-0.021320000000000002,-0.014948999999999999,-0.015568
2016-02-03,0.0053349999999999995,0.009822,-0.006509,-0.003954
2016-02-04,0.0017299999999999998,0.0052910000000000006,0.008891,0.010284
2016-02-05,-0.018443,-0.01702,-0.011052,-0.011167
2016-02-08,-0.014058,-0.021147,-0.017915,-0.018654
2016-02-09,-0.000455,-0.003174,-0.015076,-0.014665
2016-02-10,0.000152,0.0008219999999999999,-0.002043,-0.003104
2016-02-11,-0.012113,-0.014274,-0.010928,-0.011120000000000001
2016-02-12,0.019628,0.022006,-0.001979,0.000691
2016-02-15,0.0,0.0,0.031184,0.02911
2016-02-16,0.016849,0.019957,0.0008160000000000001,0.0016220000000000002
2016-02-17,0.016581,0.019024,0.012827999999999999,0.01504
2016-02-18,-0.004613,-0.003065,0.006803,0.006511
2016-02-19,0.000119,-0.002392,-0.007423,-0.008432
2016-02-22,0.014456,0.017813000000000002,0.010384,0.01065
2016-02-23,-0.012393000000000001,-0.012108,-0.008532999999999999,-0.009081
2016-02-24,0.0044919999999999995,0.006012999999999999,-0.01719,-0.015968
2016-02-25,0.011588000000000001,0.011191,0.014886,0.014915000000000001
2016-02-26,-0.0017549999999999998,0.001704,0.002567,0.003075
2016-02-29,-0.008025,-0.006846,0.000252,0.000541
2016-03-01,0.023885,0.021901999999999998,0.009244,0.009951999999999999
2016-03-02,0.004277,0.007495000000000001,0.014905999999999999,0.013819
2016-03-03,0.003602,0.009544,0.010955999999999999,0.011068
2016-03-04,0.003329,0.0051259999999999995,0.010658,0.010404
2016-03-07,0.000951,0.00497,-0.003735,-0.001896
2016-03-08,-0.011056,-0.016942,-0.0037430000000000002,-0.004448
2016-03-09,0.0052239999999999995,0.005403,-0.000899,0.000336
2016-03-10,0.000222,0.001321,-0.001421,-0.0016170000000000002
2016-03-11,0.016677,0.019688,0.020384000000000003,0.020312
2016-03-14,-0.001196,-0.001935,0.0048270000000000006,0.003907
2016-03-15,-0.001819,-0.005699999999999999,-0.00904,-0.009203
2016-03-16,0.005667,0.009559,-0.005599,-0.004752
2016-03-17,0.006605,0.009499,0.021951000000000002,0.023457
2016-03-18,0.004406,0.005011,-0.001684,-0.002333
2016-03-21,0.00099,-0.000362,-0.00425,-0.0040550000000000004
2016-03-22,-0.000726,-0.000914,0.0011459999999999999,0.0006940000000000001
2016-03-23,-0.006383,-0.010164,-0.007443,-0.008372000000000001
2016-03-24,-0.00037400000000000004,-0.001003,-0.013689,-0.013129
2016-03-25,0.0,0.0,0.002482,0.002281
2016-03-28,0.000553,0.0016259999999999998,0.004971,0.005277
2016-03-29,0.00902,0.009677999999999999,0.001089,0.001336
2016-03-30,0.004458,0.003305,0.01906,0.019400999999999998
2016-03-31,-0.002039,0.000246,-0.005081,-0.0046960000000000005
2016-04-01,0.00634,0.0036220000000000002,-0.021598000000000003,-0.021149
2016-04-04,-0.0029909999999999997,-0.005809,0.0068330000000000005,0.005761
2016-04-05,-0.010142,-0.01135,-0.019121,-0.018546
2016-04-06,0.01087,0.010439,0.006843,0.006845
2016-04-07,-0.01194,-0.012410000000000001,0.001472,0.000659
2016-04-08,0.002799,0.0044729999999999995,0.011056999999999999,0.012188000000000001
2016-04-11,-0.0027400000000000002,-0.00153,0.004758,0.0048
2016-04-12,0.009694000000000001,0.010817,0.0030420000000000004,0.004372
2016-04-13,0.010190999999999999,0.012669,0.018252,0.017809
2016-04-14,0.000273,-0.001781,0.01004,0.008819
2016-04-15,-0.000984,7.1e-05,-0.000417,-0.000888
2016-04-18,0.006561,0.006802,-0.003059,-0.002131
2016-04-19,0.003085,0.004677,0.02116,0.021574
2016-04-20,0.000819,0.001391,0.001653,0.0018310000000000002
2016-04-21,-0.00517,-0.00636,0.0010680000000000002,0.000555
2016-04-22,5.3e-05,0.0062580000000000005,-0.007536,-0.006482
2016-04-25,-0.001812,-0.004415,-0.0019420000000000001,-0.002354
2016-04-26,0.0018729999999999999,0.0068779999999999996,0.001566,0.0017349999999999998
2016-04-27,0.0017230000000000001,0.006473,-0.0019089999999999999,-0.001449
2016-04-28,-0.009161,-0.011474999999999999,0.000861,0.0014860000000000001
2016-04-29,-0.005052999999999999,-0.006659000000000001,-0.00264,-0.001981
2016-05-02,0.007817,0.006533,-0.0032719999999999997,-0.0036409999999999997
2016-05-03,-0.008649,-0.010983,-0.010492,-0.011594
2016-05-04,-0.005725,-0.006725999999999999,-0.012146999999999998,-0.01274
2016-05-05,2.9999999999999997e-06,-5.7e-05,-0.003021,-0.002841
2016-05-06,0.003297,0.0027489999999999997,-0.001177,-0.0012389999999999999
2016-05-09,0.0007639999999999999,-0.000505,-0.00034,-0.0015310000000000002
2016-05-10,0.012504999999999999,0.012806,0.01045,0.011146
2016-05-11,-0.009043,-0.009914,0.000221,0.0007589999999999999
2016-05-12,-7.000000000000001e-05,-0.001166,-0.0048259999999999996,-0.0041010000000000005
2016-05-13,-0.008400999999999999,-0.008789,-0.00801,-0.008329999999999999
2016-05-16,0.009899999999999999,0.00996,0.004077,0.004913
2016-05-17,-0.009104,-0.006528000000000001,0.004265,0.004027
2016-05-18,0.000354,-0.002189,-0.000301,-0.0009339999999999999
2016-05-19,-0.0036980000000000003,-0.00336,-0.0139,-0.014143
2016-05-20,0.00618,0.007822,0.0092,0.009183
2016-05-23,-0.002052,-0.001492,-0.002678,-0.002621
2016-05-24,0.013707,0.013822000000000001,0.008337,0.008306000000000001
2016-05-25,0.007033,0.007625,0.011899999999999999,0.011655
2016-05-26,-6.9e-05,-0.000838,0.005188000000000001,0.005397999999999999
2016-05-27,0.004466,0.005365999999999999,-0.000495,-0.000364
2016-05-30,0.0,0.0,0.001704,0.001199
