date,security,PX_LAST
2018-11-30,CNCPIYOY Index,2.2
2018-12-31,CNCPIYOY Index,1.9
2018-12-31,CPI YOY Index,1.9
2018-12-31,JNCPIYOY Index,0.3
2018-12-31,EHPIEU Index,1.9
2019-01-31,CNCPIYOY Index,1.7
2019-01-31,CPI YOY Index,1.6
2019-01-31,JNCPIYOY Index,0.2
2019-02-28,CNCPIYOY Index,1.5
2019-02-28,CPI YOY Index,1.5
2019-02-28,JNCPIYOY Index,0.2
2019-03-31,CNCPIYOY Index,2.3
2019-03-31,JNCPIYOY Index,0.5
2019-03-31,CPI YOY Index,1.9
2019-03-31,EHPIEU Index,1.43
2019-04-30,CNCPIYOY Index,2.5
2019-04-30,CPI YOY Index,2.0
2019-04-30,JNCPIYOY Index,0.9
2019-05-31,JNCPIYOY Index,0.7
2019-05-31,CPI YOY Index,1.8
2019-05-31,CNCPIYOY Index,2.7
2019-06-30,JNCPIYOY Index,0.7
2019-06-30,CPI YOY Index,1.6
2019-06-30,CNCPIYOY Index,2.7
2019-06-30,EHPIEU Index,1.4
2019-07-31,CPI YOY Index,1.8
2019-07-31,JNCPIYOY Index,0.5
2019-07-31,CNCPIYOY Index,2.8
2019-08-31,CPI YOY Index,1.7
2019-08-31,JNCPIYOY Index,0.3
2019-08-31,CNCPIYOY Index,2.8
2019-09-30,JNCPIYOY Index,0.2
2019-09-30,CPI YOY Index,1.7
2019-09-30,CNCPIYOY Index,3.0
2019-09-30,EHPIEU Index,0.93
2019-10-31,CNCPIYOY Index,3.8
2019-10-31,JNCPIYOY Index,0.2
2019-10-31,CPI YOY Index,1.8
2019-11-30,JNCPIYOY Index,0.5
2019-11-30,CPI YOY Index,2.1
2019-11-30,CNCPIYOY Index,4.5
2019-12-31,JNCPIYOY Index,0.8
2019-12-31,CPI YOY Index,2.3
2019-12-31,CNCPIYOY Index,4.5
2019-12-31,EHPIEU Index,1.0
2020-01-31,JNCPIYOY Index,0.7
2020-01-31,CPI YOY Index,2.5
2020-01-31,CNCPIYOY Index,5.4
2020-02-29,JNCPIYOY Index,0.4
2020-02-29,CNCPIYOY Index,5.2
2020-02-29,CPI YOY Index,2.3
2020-03-31,CNCPIYOY Index,4.3
2020-03-31,JNCPIYOY Index,0.4
2020-03-31,CPI YOY Index,1.5
2020-03-31,EHPIEU Index,1.1
2020-04-30,CPI YOY Index,0.3
2020-04-30,CNCPIYOY Index,3.3
2020-04-30,JNCPIYOY Index,0.1
2020-05-31,JNCPIYOY Index,0.1
2020-05-31,CNCPIYOY Index,2.4
2020-05-31,CPI YOY Index,0.1
2020-06-30,CNCPIYOY Index,2.5
2020-06-30,CPI YOY Index,0.6
2020-06-30,JNCPIYOY Index,0.1
2020-06-30,EHPIEU Index,0.23
2020-07-31,JNCPIYOY Index,0.3
2020-07-31,CNCPIYOY Index,2.7
2020-07-31,CPI YOY Index,1.0
2020-08-31,CNCPIYOY Index,2.4
2020-08-31,JNCPIYOY Index,0.2
2020-08-31,CPI YOY Index,1.3
2020-09-30,JNCPIYOY Index,0.0
2020-09-30,CPI YOY Index,1.4
2020-09-30,CNCPIYOY Index,1.7
2020-09-30,EHPIEU Index,-0.03
2020-10-31,CPI YOY Index,1.2
2020-10-31,CNCPIYOY Index,0.5
2020-10-31,JNCPIYOY Index,-0.4
2020-11-30,JNCPIYOY Index,-0.9
2020-11-30,CPI YOY Index,1.2
2020-11-30,CNCPIYOY Index,-0.5
2020-12-31,CNCPIYOY Index,0.2
2020-12-31,JNCPIYOY Index,-1.2
2020-12-31,CPI YOY Index,1.4
2020-12-31,EHPIEU Index,-0.3
2021-01-31,CPI YOY Index,1.4
2021-01-31,CNCPIYOY Index,-0.3
2021-01-31,JNCPIYOY Index,-0.7
2021-02-28,CPI YOY Index,1.7
2021-02-28,JNCPIYOY Index,-0.5
2021-02-28,CNCPIYOY Index,-0.2
2021-03-31,EHPIEU Index,1.03
2021-03-31,JNCPIYOY Index,-0.4
2021-03-31,CNCPIYOY Index,0.4
2021-03-31,CPI YOY Index,2.6
2021-04-30,CNCPIYOY Index,0.9
2021-04-30,CPI YOY Index,4.2
2021-04-30,JNCPIYOY Index,-1.1
2021-05-31,CNCPIYOY Index,1.3
2021-05-31,CPI YOY Index,5.0
2021-05-31,JNCPIYOY Index,-0.8
2021-06-30,EHPIEU Index,1.83
2021-06-30,CNCPIYOY Index,1.1
2021-06-30,JNCPIYOY Index,-0.5
2021-06-30,CPI YOY Index,5.4
2021-07-31,CNCPIYOY Index,1.0
2021-07-31,CPI YOY Index,5.4
2021-07-31,JNCPIYOY Index,-0.3
2021-08-31,JNCPIYOY Index,-0.4
2021-08-31,CNCPIYOY Index,0.8
2021-08-31,CPI YOY Index,5.3
2021-09-30,CNCPIYOY Index,0.7
2021-09-30,JNCPIYOY Index,0.2
2021-09-30,CPI YOY Index,5.4
2021-09-30,EHPIEU Index,2.87
2021-10-31,CNCPIYOY Index,1.5
