date,security,PE_RATIO,BEST_PE_RATIO
2015-07-16,S5TELS Index,14.8525,13.4432
2015-07-16,S5FINL Index,15.0957,15.07
2015-07-16,S5COND Index,22.5153,20.7945
2015-07-16,S5INFT Index,18.4989,17.1999
2015-07-16,S5UTIL Index,16.5198,16.0996
2015-07-16,S5ENRS Index,15.449,26.438
2015-07-16,S5INDU Index,16.8289,16.7851
2015-07-16,S5MATR Index,17.2133,17.7342
2015-07-16,S5CONS Index,19.9023,20.4862
2015-07-17,S5COND Index,22.4723,20.7831
2015-07-17,S5UTIL Index,16.3438,15.9578
2015-07-17,S5INDU Index,16.8285,16.8437
2015-07-17,S5INFT Index,18.8235,17.5291
2015-07-17,S5CONS Index,19.8864,20.4689
2015-07-17,S5MATR Index,17.0989,17.6357
2015-07-17,S5ENRS Index,15.2835,26.1591
2015-07-17,S5FINL Index,15.0622,15.0167
2015-07-17,S5HLTH Index,23.9109,19.3336
2015-07-17,S5TELS Index,14.8036,13.4199
2015-07-20,S5INFT Index,18.9213,17.6424
2015-07-20,S5COND Index,22.4791,20.8064
2015-07-20,S5MATR Index,16.9445,17.4816
2015-07-20,S5ENRS Index,15.0867,26.0446
2015-07-20,S5INDU Index,16.8324,16.8217
2015-07-20,S5TELS Index,14.8554,13.4671
2015-07-20,S5HLTH Index,23.9821,19.3737
2015-07-20,S5UTIL Index,16.2688,15.8883
2015-07-20,S5CONS Index,19.9309,20.5119
2015-07-20,S5FINL Index,15.0864,15.0095
2015-07-21,S5TELS Index,14.5965,13.1638
2015-07-21,S5INDU Index,16.6534,16.6592
2015-07-21,S5MATR Index,16.849,17.3566
2015-07-21,S5HLTH Index,23.8907,19.2935
2015-07-21,S5FINL Index,15.0698,14.9697
2015-07-21,S5ENRS Index,15.101,26.012
2015-07-21,S5COND Index,22.4122,20.7591
2015-07-21,S5UTIL Index,16.1121,15.7184
2015-07-21,S5INFT Index,18.83,17.4879
2015-07-21,S5CONS Index,19.8632,20.4525
2015-07-22,S5UTIL Index,16.1886,15.8155
2015-07-22,S5ENRS Index,15.0039,25.8492
2015-07-22,S5TELS Index,14.445,12.9531
2015-07-22,S5HLTH Index,23.9313,19.3165
2015-07-22,S5INDU Index,16.5618,16.5934
2015-07-22,S5FINL Index,15.1755,15.0606
2015-07-22,S5MATR Index,16.7775,17.2865
2015-07-22,S5INFT Index,18.5209,17.2083
2015-07-22,S5COND Index,22.5074,20.8451
2015-07-22,S5CONS Index,19.8965,20.477
2015-07-23,S5HLTH Index,23.8515,19.2447
2015-07-23,S5COND Index,22.3742,20.7171
2015-07-23,S5CONS Index,19.811,20.3784
2015-07-23,S5INDU Index,16.4081,16.4311
2015-07-23,S5ENRS Index,14.9588,25.7649
2015-07-23,S5INFT Index,18.4736,17.2162
2015-07-23,S5UTIL Index,15.9518,15.5819
2015-07-23,S5FINL Index,15.0526,14.9389
2015-07-23,S5TELS Index,13.7924,12.7578
2015-07-23,S5MATR Index,16.5322,16.8953
2015-07-24,S5CONS Index,19.7043,20.2691
2015-07-24,S5COND Index,22.3694,20.5665
2015-07-24,S5TELS Index,13.7822,12.3254
2015-07-24,S5MATR Index,16.1645,16.4735
2015-07-24,S5HLTH Index,23.2521,18.7514
2015-07-24,S5UTIL Index,15.9555,15.5797
2015-07-24,S5ENRS Index,14.6622,25.1749
2015-07-24,S5FINL Index,14.9098,14.7775
2015-07-24,S5INDU Index,16.1879,16.2243
2015-07-24,S5INFT Index,18.3632,17.1215
2015-07-27,S5COND Index,22.2087,20.4237
2015-07-27,S5TELS Index,13.7611,12.006
2015-07-27,S5FINL Index,14.8001,14.6513
2015-07-27,S5HLTH Index,23.2177,18.7557
2015-07-27,S5CONS Index,19.6908,20.2692
2015-07-27,S5UTIL Index,16.1626,15.761
2015-07-27,S5MATR Index,15.9883,16.3265
2015-07-27,S5INDU Index,16.1204,16.1856
2015-07-27,S5ENRS Index,14.4639,24.8528
2015-07-27,S5INFT Index,18.1865,16.9444
2015-07-28,S5UTIL Index,16.2428,15.8446
2015-07-28,S5INDU Index,16.412,16.4745
2015-07-28,S5FINL Index,14.8728,14.7219
2015-07-28,S5INFT Index,18.3564,17.1069
2015-07-28,S5ENRS Index,14.8956,25.6029
2015-07-28,S5CONS Index,19.9019,20.4823
2015-07-28,S5MATR Index,16.3315,16.7456
2015-07-28,S5TELS Index,13.7776,12.0204
2015-07-28,S5COND Index,22.3935,20.5556
2015-07-28,S5HLTH Index,23.6464,18.9993
2015-07-29,S5CONS Index,19.9688,20.5516
2015-07-29,S5HLTH Index,23.7018,18.9896
2015-07-29,S5INFT Index,18.4811,17.2413
2015-07-29,S5UTIL Index,16.2963,15.9113
2015-07-29,S5ENRS Index,15.0864,25.9223
2015-07-29,S5INDU Index,16.6144,16.6744
2015-07-29,S5TELS Index,13.9041,13.1294
2015-07-29,S5COND Index,22.6158,20.8473
2015-07-29,S5MATR Index,16.4516,16.8808
2015-07-29,S5FINL Index,14.8078,14.8287
2015-07-30,S5INFT Index,18.5064,17.2334
2015-07-30,S5INDU Index,16.5183,16.6528
2015-07-30,S5CONS Index,19.8992,20.4879
2015-07-30,S5ENRS Index,14.9887,25.7737
2015-07-30,S5MATR Index,16.5345,16.9805
2015-07-30,S5FINL Index,14.8229,14.8309
2015-07-30,S5COND Index,22.6909,20.9244
2015-07-30,S5TELS Index,13.9446,13.1705
2015-07-30,S5HLTH Index,23.6601,18.9535
2015-07-30,S5UTIL Index,16.4128,16.0231
2015-07-31,S5COND Index,22.7543,21.0064
2015-07-31,S5MATR Index,16.4836,16.9707
2015-07-31,S5ENRS Index,18.144,25.7251
2015-07-31,S5TELS Index,13.9631,13.1895
2015-07-31,S5CONS Index,19.9201,20.5393
2015-07-31,S5FINL Index,14.7614,14.7688
